"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs4796791-<b>T</b>,"3 x 10-8",,'-,'-,'-,[NR],STAT3,"Crohn's disease or systemic sclerosis","systemic scleroderma, Crohn's disease",GCST010124,17:42378745
rs1517037-<b>?</b>,"8 x 10-7",(EA),NR,'-,'-,'-,"GRP, SEC11C","Crohn's disease","Crohn's disease",GCST003044,18:59211042
rs6738490-<b>?</b>,"4 x 10-78",(EA),NR,'-,'-,'-,ATG16L1,"Crohn's disease","Crohn's disease",GCST003044,2:233252937
rs11679753-<b>?</b>,"5 x 10-11",(EA),NR,'-,'-,'-,"RN7SL51P, AC093159.2","Crohn's disease","Crohn's disease",GCST003044,2:62325186
rs76181804-<b>?</b>,"1 x 10-10",(EA),NR,'-,'-,'-,"AL157402.1, PTPRC","Crohn's disease","Crohn's disease",GCST003044,1:198632575
rs61959448-<b>?</b>,"2 x 10-10",(EA),NR,'-,'-,'-,"AKAP11, LINC02341","Crohn's disease","Crohn's disease",GCST003044,13:42336183
rs71624119-<b>?</b>,"7 x 10-10",(EA),NR,'-,'-,'-,ANKRD55,"Crohn's disease","Crohn's disease",GCST003044,5:56144903
rs10276381-<b>?</b>,"7 x 10-10",(EA),NR,'-,'-,'-,JAZF1,"Crohn's disease","Crohn's disease",GCST003044,7:28150502
rs631106-<b>?</b>,"6 x 10-8",(EA),NR,'-,'-,'-,"KANK4, USP1","Crohn's disease","Crohn's disease",GCST003044,1:62436136
rs7556897-<b>A</b>,"6 x 10-6",(EA),0.66,1.0588406,'-,[1.03-1.08],"SNRPGP8, AC073065.1","Crohn's disease","Crohn's disease",GCST003044,2:227795396
rs71485777-<b>?</b>,"1 x 10-36",(EA),NR,'-,'-,'-,"AL391684.1, LINC01475","Crohn's disease","Crohn's disease",GCST003044,10:99523571
rs6561151-<b>?</b>,"5 x 10-25",(EA),NR,'-,'-,'-,"NRAD1, AL512506.3","Crohn's disease","Crohn's disease",GCST003044,13:43910570
rs9264942-<b>?</b>,"5 x 10-25",(EA),NR,'-,'-,'-,HLA-B,"Crohn's disease","Crohn's disease",GCST003044,6:31306603
rs6425143-<b>?</b>,"3 x 10-22",(EA),NR,'-,'-,'-,AL031599.1,"Crohn's disease","Crohn's disease",GCST003044,1:172875212
rs780094-<b>?</b>,"4 x 10-22",(EA),NR,'-,'-,'-,GCKR,"Crohn's disease","Crohn's disease",GCST003044,2:27518370
rs7869487-<b>?</b>,"7 x 10-19",(EA),NR,'-,'-,'-,"TNFSF15, AL133412.1","Crohn's disease","Crohn's disease",GCST003044,9:114818634
rs9989735-<b>?</b>,"2 x 10-18",(EA),NR,'-,'-,'-,SP140,"Crohn's disease","Crohn's disease",GCST003044,2:230250739
rs9457247-<b>?</b>,"2 x 10-18",(EA),NR,'-,'-,'-,Z94721.1,"Crohn's disease","Crohn's disease",GCST003044,6:166978686
rs2476601-<b>?</b>,"4 x 10-17",(EA),NR,'-,'-,'-,"PTPN22, AL137856.1","Crohn's disease","Crohn's disease",GCST003044,1:113834946
rs9491891-<b>?</b>,"3 x 10-16",(EA),NR,'-,'-,'-,"THEMIS, PTPRK","Crohn's disease","Crohn's disease",GCST003044,6:127956006
rs34592089-<b>?</b>,"1 x 10-15",(EA),NR,'-,'-,'-,"BANK1, AP002075.1","Crohn's disease","Crohn's disease",GCST003044,4:102005766
rs6503695-<b>?</b>,"1 x 10-14",(EA),NR,'-,'-,'-,STAT3,"Crohn's disease","Crohn's disease",GCST003044,17:42347515
rs34804116-<b>?</b>,"1 x 10-13",(EA),NR,'-,'-,'-,AC116345.1,"Crohn's disease","Crohn's disease",GCST003044,5:73244023
rs72727394-<b>?</b>,"5 x 10-12",(EA),NR,'-,'-,'-,RASGRP1,"Crohn's disease","Crohn's disease",GCST003044,15:38554821
rs56163845-<b>?</b>,"9 x 10-12",(EA),NR,'-,'-,'-,CPEB4,"Crohn's disease","Crohn's disease",GCST003044,5:173946945
rs9525625-<b>A</b>,"1 x 10-9",(EA),0.4706,1.0763987,'-,[1.05-1.1],LINC02341,"Crohn's disease","Crohn's disease",GCST003044,13:42443894
rs259964-<b>A</b>,"2 x 10-9",(EA),0.4586,1.07394,'-,[1.05-1.1],ZNF831,"Crohn's disease","Crohn's disease",GCST003044,20:59249254
rs10185424-<b>A</b>,"3 x 10-9",(EA),0.4604,1.0748146,'-,[1.05-1.1],AC007271.1,"Crohn's disease","Crohn's disease",GCST003044,2:102046427
rs17694108-<b>A</b>,"3 x 10-9",(EA),0.2797,1.0828425,'-,[1.06-1.11],"AC008738.6, SLC7A10","Crohn's disease","Crohn's disease",GCST003044,19:33240645
rs2382817-<b>A</b>,"4 x 10-9",(EA),0.3988,1.0738211,'-,[1.05-1.1],"TMBIM1, PNKD","Crohn's disease","Crohn's disease",GCST003044,2:218286495
rs670523-<b>A</b>,"6 x 10-9",(EA),0.329,1.0770509,'-,[1.05-1.1],RIT1,"Crohn's disease","Crohn's disease",GCST003044,1:155908941
rs7758080-<b>G</b>,"7 x 10-9",(EA),0.2694,1.0790637,'-,[1.05-1.1],"TAB2-AS1, TAB2","Crohn's disease","Crohn's disease",GCST003044,6:149255943
rs568617-<b>A</b>,"2 x 10-8",(EA),0.1883,1.0888312,'-,[1.06-1.12],FIBP,"Crohn's disease","Crohn's disease",GCST003044,11:65885771
rs3851228-<b>A</b>,"3 x 10-8",(EA),0.06375,1.1365786,'-,[1.09-1.18],TRAF3IP2-AS1,"Crohn's disease","Crohn's disease",GCST003044,6:111526988
rs314313-<b>G</b>,"3 x 10-8",(EA),0.3043,1.0734991,'-,[1.05-1.1],EPHB4,"Crohn's disease","Crohn's disease",GCST003044,7:100825743
rs4976646-<b>G</b>,"3 x 10-8",(EA),0.3415,1.0721266,'-,[1.05-1.1],RGS14,"Crohn's disease","Crohn's disease",GCST003044,5:177361569
rs9297145-<b>C</b>,"4 x 10-8",(EA),0.2581,1.0761806,'-,[1.05-1.1],"SMURF1, KPNA7","Crohn's disease","Crohn's disease",GCST003044,7:99161494
rs1748195-<b>G</b>,"7 x 10-8",(EA),0.3299,1.0702562,'-,[1.05-1.09],DOCK7,"Crohn's disease","Crohn's disease",GCST003044,1:62583922
rs653178-<b>G</b>,"7 x 10-8",(EA),0.4942,1.0667465,'-,[1.04-1.09],ATXN2,"Crohn's disease","Crohn's disease",GCST003044,12:111569952
rs194749-<b>G</b>,"1 x 10-7",(EA),0.2289,1.0796018,'-,[1.05-1.11],"MAGOH3P, ZFP36L1","Crohn's disease","Crohn's disease",GCST003044,14:68807188
rs17622378-<b>G</b>,"7 x 10-56",(EA),0.4186,1.2094882,'-,[1.19-1.23],"IRF1-AS1, AC116366.3","Crohn's disease","Crohn's disease",GCST003044,5:132442760
rs4409764-<b>A</b>,"6 x 10-47",(EA),0.4821,1.1889576,'-,[1.17-1.21],"LINC01475, AL391684.1","Crohn's disease","Crohn's disease",GCST003044,10:99524480
rs2155219-<b>A</b>,"6 x 10-46",(EA),0.4994,1.188493,'-,[1.16-1.21],"EMSY, AP001189.2","Crohn's disease","Crohn's disease",GCST003044,11:76588150
rs11741861-<b>G</b>,"6 x 10-44",(EA),0.07656,1.3292114,'-,[1.29-1.37],"IRGM, ZNF300","Crohn's disease","Crohn's disease",GCST003044,5:150898347
rs10781499-<b>A</b>,"8 x 10-43",(EA),0.4263,1.181867,'-,[1.16-1.21],CARD9,"Crohn's disease","Crohn's disease",GCST003044,9:136371953
rs75900472-<b>C</b>,"4 x 10-34",(EA),0.3496,1.1615441,'-,[1.14-1.19],"JAK2, HNRNPA1P41","Crohn's disease","Crohn's disease",GCST003044,9:4981601
rs3197999-<b>A</b>,"2 x 10-33",(EA),0.2812,1.1677914,'-,[1.14-1.19],MST1,"Crohn's disease","Crohn's disease",GCST003044,3:49684099
rs116392568-<b>G</b>,"7 x 10-32",(EA),0.3529,1.1627572,'-,[1.14-1.19],HLA-B,"Crohn's disease","Crohn's disease",GCST003044,6:31306603
rs11743851-<b>G</b>,"1 x 10-31",(EA),0.3698,1.1548939,'-,[1.13-1.18],CDC42SE2,"Crohn's disease","Crohn's disease",GCST003044,5:131277907
rs224090-<b>A</b>,"4 x 10-26",(EA),0.4075,1.1376477,'-,[1.11-1.16],AC067751.1,"Crohn's disease","Crohn's disease",GCST003044,10:62781559
rs12422544-<b>G</b>,"4 x 10-25",(EA),0.01915,1.4551913,'-,[1.38-1.53],"LINC02555, SLC2A13","Crohn's disease","Crohn's disease",GCST003044,12:40134630
rs3024505-<b>A</b>,"4 x 10-25",(EA),0.1573,1.1797599,'-,[1.15-1.21],"IL10, AL591846.1","Crohn's disease","Crohn's disease",GCST003044,1:206766559
rs2024092-<b>A</b>,"7 x 10-25",(EA),0.2162,1.159123,'-,[1.13-1.19],SBNO2,"Crohn's disease","Crohn's disease",GCST003044,19:1124032
rs12946510-<b>A</b>,"2 x 10-24",(EA),0.4675,1.1311512,'-,[1.11-1.15],'-,"Crohn's disease","Crohn's disease",GCST003044,"Mapping not available"
rs7608910-<b>G</b>,"3 x 10-23",(EA),0.3909,1.1281834,'-,[1.1-1.15],PUS10,"Crohn's disease","Crohn's disease",GCST003044,2:60977721
rs7746082-<b>C</b>,"3 x 10-23",(EA),0.2869,1.1415608,'-,[1.12-1.17],"RN7SKP211, PRDM1","Crohn's disease","Crohn's disease",GCST003044,6:105987394
rs7282490-<b>G</b>,"6 x 10-23",(EA),0.3934,1.1274672,'-,[1.1-1.15],GATD3A,"Crohn's disease","Crohn's disease",GCST003044,21:44195858
rs13407913-<b>G</b>,"1 x 10-21",(EA),0.4306,1.1213214,'-,[1.1-1.14],ADCY3,"Crohn's disease","Crohn's disease",GCST003044,2:24874775
rs4768236-<b>C</b>,"4 x 10-21",(EA),0.3295,1.1238824,'-,[1.1-1.15],LRRK2,"Crohn's disease","Crohn's disease",GCST003044,12:40362670
rs516246-<b>A</b>,"1 x 10-20",(EA),0.4652,1.1213977,'-,[1.1-1.15],FUT2,"Crohn's disease","Crohn's disease",GCST003044,19:48702915
rs17293632-<b>A</b>,"4 x 10-20",(EA),0.2364,1.1369898,'-,[1.11-1.16],SMAD3,"Crohn's disease","Crohn's disease",GCST003044,15:67150258
rs212388-<b>G</b>,"2 x 10-16",(EA),0.3957,1.1078008,'-,[1.08-1.13],"AL035530.1, AL035530.2, AL356417.3","Crohn's disease","Crohn's disease",GCST003044,6:159069404
rs395157-<b>A</b>,"2 x 10-16",(EA),0.4842,1.1031193,'-,[1.08-1.13],OSMR,"Crohn's disease","Crohn's disease",GCST003044,5:38867630
rs6708413-<b>G</b>,"3 x 10-16",(EA),0.2376,1.1225724,'-,[1.09-1.15],IL18RAP,"Crohn's disease","Crohn's disease",GCST003044,2:102446909
rs1363907-<b>A</b>,"4 x 10-16",(EA),0.4212,1.10802,'-,[1.08-1.13],"AC009126.1, ERAP2","Crohn's disease","Crohn's disease",GCST003044,5:96917099
rs2488389-<b>A</b>,"9 x 10-15",(EA),0.2092,1.1191661,'-,[1.09-1.15],DENND1B,"Crohn's disease","Crohn's disease",GCST003044,1:197662011
rs1292053-<b>G</b>,"2 x 10-14",(EA),0.442,1.0954721,'-,[1.07-1.12],TUBD1,"Crohn's disease","Crohn's disease",GCST003044,17:59886176
rs4256159-<b>A</b>,"7 x 10-14",(EA),0.1459,1.1343944,'-,[1.1-1.17],SATB1-AS1,"Crohn's disease","Crohn's disease",GCST003044,3:18725912
rs8005161-<b>A</b>,"9 x 10-14",(EA),0.08653,1.1677363,'-,[1.13-1.21],GPR65,"Crohn's disease","Crohn's disease",GCST003044,14:88006251
rs10495903-<b>A</b>,"3 x 10-13",(EA),0.1316,1.1337671,'-,[1.1-1.17],THADA,"Crohn's disease","Crohn's disease",GCST003044,2:43579779
rs2930047-<b>G</b>,"1 x 10-12",(EA),0.372,1.0912733,'-,[1.07-1.12],DAP,"Crohn's disease","Crohn's disease",GCST003044,5:10695414
rs174537-<b>A</b>,"2 x 10-12",(EA),0.3313,1.0922968,'-,[1.07-1.12],"TMEM258, MYRF","Crohn's disease","Crohn's disease",GCST003044,11:61785208
rs2256609-<b>G</b>,"6 x 10-12",(EA),0.1971,1.1082332,'-,[1.08-1.14],UBE2L3,"Crohn's disease","Crohn's disease",GCST003044,22:21570728
rs5763767-<b>A</b>,"6 x 10-13",(EA),0.4538,1.0924478,'-,[1.07-1.12],HORMAD2,"Crohn's disease","Crohn's disease",GCST003044,22:30097893
rs6074022-<b>G</b>,"3 x 10-12",(EA),0.2503,1.1011126,'-,[1.07-1.13],"CD40, RPL13P2","Crohn's disease","Crohn's disease",GCST003044,20:46111557
rs12722515-<b>C</b>,"8 x 10-13",(EA),0.84,1.1332967,'-,[1.1-1.17],IL2RA,"Crohn's disease","Crohn's disease",GCST003044,10:6039267
rs423674-<b>C</b>,"2 x 10-14",(EA),0.8,1.1317871,'-,[1.1-1.16],RMI2,"Crohn's disease","Crohn's disease",GCST003044,16:11279548
rs2641348-<b>A</b>,"1 x 10-9",(EA),0.89,1.1290045,'-,[1.09-1.17],ADAM30,"Crohn's disease","Crohn's disease",GCST003044,1:119895261
rs17391694-<b>G</b>,"3 x 10-9",(EA),0.88,1.1264268,'-,[1.09-1.17],"GIPC2, RNFT1P2","Crohn's disease","Crohn's disease",GCST003044,1:78157942
rs921720-<b>G</b>,"1 x 10-21",(EA),0.62,1.1255294,'-,[1.1-1.15],AC091114.1,"Crohn's disease","Crohn's disease",GCST003044,8:125522429
rs12199775-<b>A</b>,"5 x 10-6",(EA),0.93,1.1207099,'-,[1.07-1.17],PHACTR2,"Crohn's disease","Crohn's disease",GCST003044,6:143577757
rs2945412-<b>A</b>,"5 x 10-20",(EA),0.59,1.1196703,'-,[1.1-1.14],KSR1,"Crohn's disease","Crohn's disease",GCST003044,17:27516617
rs1819333-<b>A</b>,"2 x 10-19",(EA),0.54,1.1177828,'-,[1.09-1.14],"Z94721.1, RNASET2","Crohn's disease","Crohn's disease",GCST003044,6:166960059
rs1250546-<b>A</b>,"3 x 10-19",(EA),0.58,1.1170506,'-,[1.09-1.14],ZMIZ1,"Crohn's disease","Crohn's disease",GCST003044,10:79272775
rs6062504-<b>G</b>,"8 x 10-17",(EA),0.69,1.1168494,'-,[1.09-1.14],"AL121845.3, ZGPAT","Crohn's disease","Crohn's disease",GCST003044,20:63717555
rs1842076-<b>A</b>,"2 x 10-16",(EA),0.72,1.1168399,'-,[1.09-1.14],"LINC00604, KRT18P56","Crohn's disease","Crohn's disease",GCST003044,5:40236916
rs1569328-<b>G</b>,"6 x 10-11",(EA),0.83,1.1154022,'-,[1.08-1.15],"AF111167.1, FOS","Crohn's disease","Crohn's disease",GCST003044,14:75275048
rs2836878-<b>G</b>,"5 x 10-15",(EA),0.73,1.114705,'-,[1.09-1.14],"RPL23AP12, AF064858.1","Crohn's disease","Crohn's disease",GCST003044,21:39093608
rs113653754-<b>C</b>,"2 x 10-13",(EA),0.73,1.1104809,'-,[1.08-1.14],"HLA-DQB1, HLA-DQA1","Crohn's disease","Crohn's disease",GCST003044,6:32658495
rs6908425-<b>G</b>,"5 x 10-12",(EA),0.78,1.1095867,'-,[1.08-1.14],CDKAL1,"Crohn's disease","Crohn's disease",GCST003044,6:20728500
rs12942547-<b>A</b>,"1 x 10-16",(EA),0.58,1.1087568,'-,[1.08-1.13],STAT3,"Crohn's disease","Crohn's disease",GCST003044,17:42375526
rs2284553-<b>G</b>,"6 x 10-17",(EA),0.59,1.1087041,'-,[1.08-1.13],IFNGR2,"Crohn's disease","Crohn's disease",GCST003044,21:33404389
rs1199103-<b>A</b>,"5 x 10-11",(EA),0.78,1.1072454,'-,[1.08-1.14],"AC026884.1, IPMK","Crohn's disease","Crohn's disease",GCST003044,10:58187470
rs3766606-<b>C</b>,"5 x 10-9",(EA),0.83,1.1060587,'-,[1.07-1.14],PARK7,"Crohn's disease","Crohn's disease",GCST003044,1:7962137
rs925255-<b>G</b>,"1 x 10-16",(EA),0.55,1.1052196,'-,[1.08-1.13],AC104695.2,"Crohn's disease","Crohn's disease",GCST003044,2:28391927
rs6740462-<b>A</b>,"2 x 10-12",(EA),0.74,1.1048803,'-,[1.08-1.13],"AC007389.1, AC012370.2","Crohn's disease","Crohn's disease",GCST003044,2:65440138
rs7236492-<b>G</b>,"9 x 10-9",(EA),0.85,1.1047964,'-,[1.07-1.14],"AC018445.5, NFATC1","Crohn's disease","Crohn's disease",GCST003044,18:79460616
rs2227551-<b>A</b>,"5 x 10-13",(EA),0.73,1.1045585,'-,[1.08-1.13],PLAU,"Crohn's disease","Crohn's disease",GCST003044,10:73909432
rs559928-<b>G</b>,"4 x 10-10",(EA),0.81,1.1042032,'-,[1.07-1.14],"RPS6KA4, LINC02723","Crohn's disease","Crohn's disease",GCST003044,11:64382898
rs1456896-<b>A</b>,"1 x 10-13",(EA),0.69,1.1026409,'-,[1.08-1.13],"AC020743.3, AC020743.2","Crohn's disease","Crohn's disease",GCST003044,7:50264865
rs4692386-<b>G</b>,"3 x 10-7",(EA),0.59,1.0656859,'-,[1.04-1.09],"AC097714.1, RBPJ","Crohn's disease","Crohn's disease",GCST003044,4:26130739
rs17057051-<b>A</b>,"2 x 10-6",(EA),0.69,1.0649383,'-,[1.04-1.09],PTK2B,"Crohn's disease","Crohn's disease",GCST003044,8:27370037
rs4243971-<b>C</b>,"3 x 10-6",(EA),0.56,1.0574708,'-,[1.03-1.08],"AL121897.1, POFUT1","Crohn's disease","Crohn's disease",GCST003044,20:32261714
rs12103-<b>A</b>,"6 x 10-7",(EA),0.1834,1.082054,'-,[1.05-1.11],INTS11,"Crohn's disease","Crohn's disease",GCST003044,1:1312114
rs2073505-<b>A</b>,"9 x 10-7",(EA),0.07545,1.1113101,'-,[1.07-1.15],HGFAC,"Crohn's disease","Crohn's disease",GCST003044,4:3442776
rs4664304-<b>A</b>,"1 x 10-6",(EA),0.4379,1.0610188,'-,[1.04-1.08],PLA2R1,"Crohn's disease","Crohn's disease",GCST003044,2:159937497
rs7134472-<b>A</b>,"2 x 10-6",(EA),0.3855,1.0596101,'-,[1.04-1.08],IFNG-AS1,"Crohn's disease","Crohn's disease",GCST003044,12:68106206
rs724016-<b>G</b>,"3 x 10-6",(EA),0.4413,1.0572861,'-,[1.03-1.08],ZBTB38,"Crohn's disease","Crohn's disease",GCST003044,3:141386728
rs3749171-<b>A</b>,"6 x 10-6",(EA),0.1806,1.075187,'-,[1.04-1.11],GPR35,"Crohn's disease","Crohn's disease",GCST003044,2:240630275
rs4541435-<b>A</b>,"9 x 10-6",(EA),0.01341,1.2494621,'-,[1.15-1.35],C3orf84,"Crohn's disease","Crohn's disease",GCST003044,3:49191068
rs26528-<b>G</b>,"1 x 10-22",(EA),0.4576,1.1273222,'-,[1.1-1.15],IL27,"Crohn's disease","Crohn's disease",GCST003044,16:28506388
rs1893217-<b>G</b>,"6 x 10-25",(EA),0.1602,1.1773959,'-,[1.15-1.21],PTPN2,"Crohn's disease","Crohn's disease",GCST003044,18:12809341
rs11010067-<b>G</b>,"1 x 10-26",(EA),0.3513,1.1415846,'-,[1.12-1.17],"CUL2, LINC02635","Crohn's disease","Crohn's disease",GCST003044,10:35006503
rs56167332-<b>A</b>,"2 x 10-41",(EA),0.3375,1.1859788,'-,[1.16-1.21],AC008691.1,"Crohn's disease","Crohn's disease",GCST003044,5:159400761
rs10486483-<b>A</b>,"2 x 10-11",(EA),0.2371,1.0987586,'-,[1.07-1.13],SKAP2,"Crohn's disease","Crohn's disease",GCST003044,7:26852821
rs12720356-<b>C</b>,"3 x 10-11",(EA),0.08572,1.154103,'-,[1.11-1.2],TYK2,"Crohn's disease","Crohn's disease",GCST003044,19:10359299
rs12718244-<b>A</b>,"5 x 10-11",(EA),0.4081,1.0833611,'-,[1.06-1.11],SPATA48,"Crohn's disease","Crohn's disease",GCST003044,7:50136058
rs7555082-<b>A</b>,"1 x 10-10",(EA),0.1069,1.1317531,'-,[1.09-1.17],"PTPRC, AL157402.1","Crohn's disease","Crohn's disease",GCST003044,1:198629533
rs727563-<b>G</b>,"2 x 10-10",(EA),0.2027,1.0965022,'-,[1.07-1.12],ACO2,"Crohn's disease","Crohn's disease",GCST003044,22:41471373
rs11641184-<b>A</b>,"3 x 10-10",(EA),0.4762,1.0798526,'-,[1.06-1.1],LITAF,"Crohn's disease","Crohn's disease",GCST003044,16:11610795
rs10865331-<b>A</b>,"4 x 10-10",(EA),0.377,1.0816035,'-,[1.06-1.11],"AC093159.2, RN7SL51P","Crohn's disease","Crohn's disease",GCST003044,2:62324337
rs35320439-<b>G</b>,"1 x 10-9",(EA),0.3104,1.0876893,'-,[1.06-1.11],GAL3ST2,"Crohn's disease","Crohn's disease",GCST003044,2:241797926
rs9868809-<b>A</b>,"1 x 10-9",(EA),0.1036,1.1240871,'-,[1.09-1.16],CELSR3,"Crohn's disease","Crohn's disease",GCST003044,3:48643620
rs2538470-<b>A</b>,"1 x 10-9",(EA),0.3622,1.0778457,'-,[1.05-1.1],"AC006974.2, AC006974.1","Crohn's disease","Crohn's disease",GCST003044,7:148523356
rs7954567-<b>A</b>,"1 x 10-9",(EA),0.3338,1.0857501,'-,[1.06-1.11],LTBR,"Crohn's disease","Crohn's disease",GCST003044,12:6381959
rs6863411-<b>T</b>,"2 x 10-14",(EA),0.63,1.1018033,'-,[1.08-1.13],NDFIP1,"Crohn's disease","Crohn's disease",GCST003044,5:142133639
rs71559680-<b>G</b>,"2 x 10-15",(EA),0.53,1.1003201,'-,[1.08-1.12],"AL031767.2, LINC00581","Crohn's disease","Crohn's disease",GCST003044,6:21430497
rs3742130-<b>G</b>,"1 x 10-10",(EA),0.78,1.0992312,'-,[1.07-1.13],"UBAC2, GPR18","Crohn's disease","Crohn's disease",GCST003044,13:99255087
rs4845604-<b>G</b>,"1 x 10-7",(EA),0.85,1.0955864,'-,[1.06-1.13],RORC,"Crohn's disease","Crohn's disease",GCST003044,1:151829204
rs10051722-<b>A</b>,"4 x 10-12",(EA),0.7,1.0947279,'-,[1.07-1.12],AC006525.1,"Crohn's disease","Crohn's disease",GCST003044,5:130768383
rs4802307-<b>C</b>,"9 x 10-12",(EA),0.7,1.0939962,'-,[1.07-1.12],"HIF3A, PPP5C","Crohn's disease","Crohn's disease",GCST003044,19:46346549
rs1847472-<b>C</b>,"1 x 10-10",(EA),0.66,1.0891367,'-,[1.06-1.12],BACH2,"Crohn's disease","Crohn's disease",GCST003044,6:90263440
rs7657746-<b>A</b>,"2 x 10-9",(EA),0.76,1.0890222,'-,[1.06-1.12],KIAA1109,"Crohn's disease","Crohn's disease",GCST003044,4:122240464
rs17119-<b>A</b>,"2 x 10-8",(EA),0.81,1.0885191,'-,[1.06-1.12],AL138720.1,"Crohn's disease","Crohn's disease",GCST003044,6:14719265
rs11230563-<b>G</b>,"4 x 10-11",(EA),0.65,1.0883777,'-,[1.06-1.11],CD6,"Crohn's disease","Crohn's disease",GCST003044,11:61008737
rs7015630-<b>A</b>,"9 x 10-10",(EA),0.73,1.0879005,'-,[1.06-1.11],"AF117829.2, RNU6-925P","Crohn's disease","Crohn's disease",GCST003044,8:89863690
rs7438704-<b>G</b>,"3 x 10-11",(EA),0.64,1.0875221,'-,[1.06-1.11],SLAIN2,"Crohn's disease","Crohn's disease",GCST003044,4:48361228
rs3853824-<b>G</b>,"1 x 10-10",(EA),0.64,1.0847627,'-,[1.06-1.11],C17orf67,"Crohn's disease","Crohn's disease",GCST003044,17:56803632
rs1517352-<b>C</b>,"1 x 10-10",(EA),0.6,1.0832976,'-,[1.06-1.11],STAT4,"Crohn's disease","Crohn's disease",GCST003044,2:191066738
rs7773324-<b>A</b>,"1 x 10-9",(EA),0.6,1.0819273,'-,[1.06-1.11],"DUSP22, IRF4","Crohn's disease","Crohn's disease",GCST003044,6:382559
rs1801274-<b>A</b>,"9 x 10-11",(EA),0.5,1.0816648,'-,[1.06-1.11],FCGR2A,"Crohn's disease","Crohn's disease",GCST003044,1:161509955
rs7165170-<b>A</b>,"7 x 10-7",(EA),0.82,1.0798767,'-,[1.05-1.11],"CRTC3-AS1, CRTC3","Crohn's disease","Crohn's disease",GCST003044,15:90638257
rs1042058-<b>G</b>,"2 x 10-9",(EA),0.6,1.0776412,'-,[1.05-1.1],MAP3K8,"Crohn's disease","Crohn's disease",GCST003044,10:30439172
rs4703855-<b>G</b>,"3 x 10-8",(EA),0.7,1.0760114,'-,[1.05-1.1],"YBX1P5, AC093278.1","Crohn's disease","Crohn's disease",GCST003044,5:72398072
rs10798069-<b>C</b>,"4 x 10-9",(EA),0.51,1.0729233,'-,[1.05-1.1],PLA2G4A,"Crohn's disease","Crohn's disease",GCST003044,1:186906327
rs13204048-<b>A</b>,"3 x 10-8",(EA),0.61,1.0708697,'-,[1.05-1.1],SLC22A23,"Crohn's disease","Crohn's disease",GCST003044,6:3420172
rs11229555-<b>C</b>,"1 x 10-6",(EA),0.75,1.0702233,'-,[1.04-1.1],GLYAT,"Crohn's disease","Crohn's disease",GCST003044,11:58641214
rs4656958-<b>G</b>,"5 x 10-7",(EA),0.68,1.0694069,'-,[1.04-1.1],"AL354714.2, ITLN1","Crohn's disease","Crohn's disease",GCST003044,1:160887174
rs915286-<b>A</b>,"3 x 10-8",(EA),0.55,1.068916,'-,[1.05-1.09],LINC00598,"Crohn's disease","Crohn's disease",GCST003044,13:40121855
rs2503322-<b>G</b>,"6 x 10-8",(EA),0.54,1.0676966,'-,[1.04-1.09],"AL356534.1, RSPO3","Crohn's disease","Crohn's disease",GCST003044,6:127136115
rs7517847-<b>A</b>,"1 x 10-159",(EA),0.56,1.3990791,'-,[1.37-1.42],"IL23R, C1orf141","Crohn's disease","Crohn's disease",GCST003044,1:67215986
rs11742570-<b>G</b>,"4 x 10-87",(EA),0.61,1.2804482,'-,[1.26-1.3],"AC108105.1, AC093277.1","Crohn's disease","Crohn's disease",GCST003044,5:40410482
rs2413583-<b>G</b>,"8 x 10-34",(EA),0.83,1.2341797,'-,[1.2-1.27],AL031590.1,"Crohn's disease","Crohn's disease",GCST003044,22:39263768
rs34856868-<b>G</b>,"2 x 10-6",(EA),0.97,1.2122864,'-,[1.13-1.29],BTBD8,"Crohn's disease","Crohn's disease",GCST003044,1:92088726
rs10761659-<b>G</b>,"1 x 10-49",(EA),0.54,1.1978161,'-,[1.17-1.22],AC067751.1,"Crohn's disease","Crohn's disease",GCST003044,10:62685804
rs2361755-<b>G</b>,"6 x 10-14",(EA),0.92,1.1951665,'-,[1.15-1.24],AC092723.4,"Crohn's disease","Crohn's disease",GCST003044,16:85976080
rs13300218-<b>G</b>,"7 x 10-16",(EA),0.9,1.1831077,'-,[1.14-1.22],NOTCH1,"Crohn's disease","Crohn's disease",GCST003044,9:136505189
rs17061048-<b>A</b>,"1 x 10-7",(EA),0.95,1.1618136,'-,[1.11-1.22],LINC00598,"Crohn's disease","Crohn's disease",GCST003044,13:40258875
rs7554511-<b>C</b>,"2 x 10-27",(EA),0.72,1.1616178,'-,[1.13-1.19],INAVA,"Crohn's disease","Crohn's disease",GCST003044,1:200908434
rs6651252-<b>A</b>,"4 x 10-16",(EA),0.87,1.1607062,'-,[1.12-1.2],LINC00824,"Crohn's disease","Crohn's disease",GCST003044,8:128554935
rs11681525-<b>G</b>,"4 x 10-11",(EA),0.91,1.1577194,'-,[1.11-1.2],TEX41,"Crohn's disease","Crohn's disease",GCST003044,2:144734815
rs11879191-<b>G</b>,"5 x 10-20",(EA),0.8,1.1537393,'-,[1.12-1.18],CDC37,"Crohn's disease","Crohn's disease",GCST003044,19:10402235
