"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs16903574-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,OTULINL,Eczema,Eczema,GCST007075,5:14610200
rs13169267-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"SPEF2, AC027347.1",Eczema,Eczema,GCST007075,5:35573544
rs6881706-<b>?</b>,"2 x 10-59",,NR,'-,'-,'-,IL7R,Eczema,Eczema,GCST007075,5:35879054
rs7725052-<b>?</b>,"1 x 10-22",,NR,'-,'-,'-,"AC114977.1, AC114977.2",Eczema,Eczema,GCST007075,5:40487168
rs28568568-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"AC022433.1, RNA5SP182",Eczema,Eczema,GCST007075,5:51678216
rs3853750-<b>?</b>,"5 x 10-62",,NR,'-,'-,'-,"SLC25A46, AC008782.1",Eczema,Eczema,GCST007075,5:110818610
rs111267073-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,"AC010395.1, TSLP",Eczema,Eczema,GCST007075,5:111030094
rs6594499-<b>?</b>,"3 x 10-64",,NR,'-,'-,'-,"AC010468.2, WDR36",Eczema,Eczema,GCST007075,5:111134439
rs250308-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,TNFAIP8,Eczema,Eczema,GCST007075,5:119348602
rs6894249-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"IRF1-AS1, AC116366.3",Eczema,Eczema,GCST007075,5:132461855
rs9494883-<b>A</b>,"1 x 10-10",,0.96875,1.1196954,'-,[1.08-1.16],WAKMAR2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:137850329
rs117710327-<b>C</b>,"4 x 10-18",,0.93779,1.116196,'-,[1.09-1.14],"AC008738.6, SLC7A10","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,19:33235672
rs74060469-<b>C</b>,"5 x 10-12",,0.96116,1.1150758,'-,[1.08-1.15],RUNX3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:24907665
rs62379371-<b>G</b>,"6 x 10-14",,0.95319,1.1135857,'-,[1.08-1.14],"TCF7, AC008608.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:134103583
rs62404084-<b>C</b>,"1 x 10-43",,0.8069,1.1116052,'-,[1.1-1.13],HLA-DQA1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32635544
rs34290285-<b>G</b>,"2 x 10-51",,0.7452,1.1095084,'-,[1.1-1.12],D2HGDH,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:241759225
rs3024971-<b>T</b>,"7 x 10-25",,0.893,1.10595,'-,[1.09-1.13],STAT6,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:57099944
rs6881270-<b>C</b>,"1 x 10-48",,0.7254,1.1035092,'-,[1.09-1.12],IL7R,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:35878993
rs28407950-<b>C</b>,"7 x 10-45",,0.7564,1.1032656,'-,[1.09-1.12],"HLA-DQB1, HLA-DQA1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32658571
rs1438673-<b>C</b>,"2 x 10-58",,0.5166,1.1007154,'-,[1.09-1.11],"AC010468.2, WDR36","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:111131801
rs12935657-<b>G</b>,"1 x 10-38",,0.7558,1.0955303,'-,[1.08-1.11],CLEC16A,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,16:11125184
rs10519068-<b>G</b>,"2 x 10-20",,0.8722,1.0868385,'-,[1.07-1.11],RORA,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:60776505
rs4845604-<b>G</b>,"5 x 10-21",,0.8595,1.0864842,'-,[1.07-1.1],RORC,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:151829204
rs9276643-<b>C</b>,"8 x 10-12",,0.6647,1.0858942,'-,[1.06-1.11],"HLA-DQB2, HLA-DOB","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32777057
rs186856025-<b>C</b>,"5 x 10-17",,0.8923,1.0847163,'-,[1.07-1.1],"LINC00709, AC044784.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:9001494
rs11539209-<b>T</b>,"7 x 10-13",,0.92036,1.0828371,'-,[1.06-1.11],ZDHHC12,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:128721272
rs509399-<b>C</b>,"2 x 10-11",,0.92476,1.079797,'-,[1.06-1.1],LINC01991,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:187963924
rs7749543-<b>G</b>,"8 x 10-10",,0.6269,1.0775862,'-,[1.05-1.1],"HLA-DQB2, HLA-DOB","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32783639
rs891058-<b>G</b>,"2 x 10-27",,0.7053,1.0738832,'-,[1.06-1.09],LINC00299,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:8302417
rs3918226-<b>C</b>,"6 x 10-10",,0.9224,1.0728463,'-,[1.05-1.1],NOS3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:150993088
rs4916533-<b>C</b>,"6 x 10-10",,0.91931,1.0707784,'-,[1.05-1.09],"NRROS, PIGX","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:196646711
rs7221109-<b>C</b>,"6 x 10-25",,0.6494,1.0665529,'-,[1.05-1.08],"AC004585.2, SMARCE1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:40614034
rs10910095-<b>G</b>,"4 x 10-13",,0.8659,1.0658708,'-,[1.05-1.08],"AL139246.2, AL139246.3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:2579316
rs1837253-<b>C</b>,"3 x 10-19",,0.7398,1.0629252,'-,[1.05-1.08],"AC010395.1, TSLP","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:111066174
rs9986945-<b>G</b>,"2 x 10-10",,0.883,1.0612332,'-,[1.04-1.08],AC024028.1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:3113539
rs12722502-<b>C</b>,"3 x 10-18",,0.9827,1.2312238,'-,[1.18-1.29],IL2RA,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:6051176
rs143021546-<b>G</b>,"3 x 10-10",,0.98377,1.2528188,'-,[1.17-1.34],IL4R,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,16:27337163
rs72782675-<b>C</b>,"2 x 10-9",,0.98955,1.198897,'-,[1.13-1.27],"LINC00709, AC044784.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:8986983
rs147725790-<b>T</b>,"2 x 10-12",,0.98229,1.1804981,'-,[1.13-1.23],"HLA-DMB, AL645941.2","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32940196
rs72823641-<b>T</b>,"1 x 10-63",,0.8633,1.1611705,'-,[1.14-1.18],"IL1RL1, IL18R1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:102319699
rs5743604-<b>A</b>,"1 x 10-72",,0.8013,1.1467891,'-,[1.13-1.16],TLR1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,4:38799664
rs34210653-<b>G</b>,"9 x 10-10",,0.97875,1.1385632,'-,[1.09-1.18],ALOX15,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:4632019
rs34416364-<b>G</b>,"8 x 10-9",,0.90442,1.0608954,'-,[1.04-1.08],"MUC22, HCG22","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:31035692
rs16858573-<b>T</b>,"9 x 10-11",,0.8752,1.0607829,'-,[1.04-1.08],ARHGAP15,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:143118156
rs4921290-<b>A</b>,"1 x 10-16",,0.7659,1.0602206,'-,[1.05-1.07],MIR3142HG,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:160487233
rs1214598-<b>G</b>,"6 x 10-21",,0.6147,1.0594343,'-,[1.05-1.07],"AL359962.3, CD247","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:167457187
rs6496676-<b>A</b>,"3 x 10-18",,0.6894,1.0586492,'-,[1.05-1.07],IQGAP1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:90445152
rs6066184-<b>C</b>,"7 x 10-16",,0.7448,1.0574179,'-,[1.04-1.07],EYA2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,20:47055837
rs2516466-<b>G</b>,"4 x 10-20",,0.5538,1.0564125,'-,[1.04-1.07],"LINC01149, AL645933.5","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:31446550
rs12343737-<b>C</b>,"2 x 10-8",,0.8958,1.0564125,'-,[1.04-1.08],"TNC, DELEC1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:115041748
rs905670-<b>G</b>,"5 x 10-18",,0.648,1.055409,'-,[1.04-1.07],BACH2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:90248783
rs130071-<b>G</b>,"3 x 10-16",,0.7038,1.0548522,'-,[1.04-1.07],CCHCR1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:31148433
rs61907713-<b>G</b>,"4 x 10-13",,0.7809,1.0538518,'-,[1.04-1.07],"LINC02098, ETS1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:128293212
rs1201113-<b>G</b>,"1 x 10-8",,0.8786,1.0537407,'-,[1.04-1.07],TNFRSF8,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:12084377
rs11255938-<b>C</b>,"4 x 10-18",,0.5454,1.0535188,'-,[1.04-1.07],"AL355333.1, LINC02676","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:8808772
rs4616071-<b>C</b>,"2 x 10-14",,0.7315,1.0529641,'-,[1.04-1.07],"LAYN, SIK2","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:111570140
rs12365699-<b>G</b>,"3 x 10-10",,0.8349,1.05241,'-,[1.04-1.07],"AP004609.1, CXCR5","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:118872577
rs7714574-<b>T</b>,"5 x 10-17",,0.6032,1.0522993,'-,[1.04-1.06],AC114977.1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:40492553
rs59183580-<b>A</b>,"2 x 10-8",,0.8707,1.0513036,'-,[1.03-1.07],AP000820.2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:95692306
rs479844-<b>G</b>,"6 x 10-17",,0.5547,1.0511931,'-,[1.04-1.06],"AP5B1, OVOL1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:65784486
rs3128967-<b>T</b>,"2 x 10-12",,0.90959,1.0504202,'-,[1.04-1.06],HLA-DPB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:33088320
rs1998266-<b>C</b>,"2 x 10-8",,0.8611,1.0500892,'-,[1.03-1.07],ETV7-AS1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:36390512
rs3787100-<b>G</b>,"2 x 10-12",,0.7549,1.049979,'-,[1.04-1.06],"RTEL1, RTEL1-TNFRSF6B","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,20:63675057
rs653178-<b>T</b>,"1 x 10-15",,0.5173,1.0485477,'-,[1.04-1.06],ATXN2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:111569952
rs2621363-<b>T</b>,"8 x 10-13",,0.7091,1.0481081,'-,[1.04-1.06],"HLA-DQB2, HLA-DOB","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32801612
rs12440045-<b>C</b>,"7 x 10-14",,0.5279,1.0465724,'-,[1.03-1.06],"RTF1, ITPKA","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:41490486
rs9247-<b>C</b>,"3 x 10-9",,0.8088,1.0461345,'-,[1.03-1.06],INPP5D,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:233204655
rs4648883-<b>C</b>,"2 x 10-13",,0.5803,1.0454783,'-,[1.03-1.06],RUNX3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:24934712
rs9816071-<b>T</b>,"1 x 10-13",,0.5205,1.0450413,'-,[1.03-1.06],SLC15A2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:121921471
rs7989041-<b>T</b>,"2 x 10-12",,0.6506,1.0449321,'-,[1.03-1.06],"KLF5, PSMD10P3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,13:73053538
rs10909912-<b>T</b>,"2 x 10-8",,0.8102,1.0440594,'-,[1.03-1.06],PRDM16,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:3258807
rs301806-<b>T</b>,"1 x 10-12",,0.5842,1.0439503,'-,[1.03-1.06],RERE,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:8422018
rs1260294-<b>T</b>,"2 x 10-8",,0.8004,1.0430791,'-,[1.03-1.06],PITPNM2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:123075742
rs2396497-<b>C</b>,"1 x 10-9",,0.7581,1.0430791,'-,[1.03-1.06],"TDGF1P2, CCL20","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:227859423
rs9442514-<b>G</b>,"1 x 10-9",,0.739,1.0429703,'-,[1.03-1.06],SPSB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:9295877
rs12623041-<b>C</b>,"1 x 10-10",,0.6802,1.0421009,'-,[1.03-1.05],"SOCAR, MIR4435-2HG, AC017002.4, AC017002.3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:111505565
rs11717778-<b>G</b>,"6 x 10-11",,0.6585,1.0418837,'-,[1.03-1.05],"CD200R1L, CD200R1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:112853801
rs249677-<b>A</b>,"6 x 10-11",,0.6331,1.0413413,'-,[1.03-1.05],"AC091825.3, NDFIP1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:142159774
rs28749131-<b>G</b>,"2 x 10-10",,0.6706,1.041016,'-,[1.03-1.05],"HLA-U, HLA-A","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:29940118
rs1330303-<b>C</b>,"5 x 10-10",,0.6461,1.0396092,'-,[1.03-1.05],BNC2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:16715828
rs61192126-<b>T</b>,"8 x 10-9",,0.709,1.0390689,'-,[1.03-1.05],"AC134508.1, RYBP","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:72345701
rs343478-<b>G</b>,"3 x 10-10",,0.5549,1.038961,'-,[1.03-1.05],AL162384.1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:6051399
rs4771332-<b>C</b>,"6 x 10-9",,0.6868,1.0384216,'-,[1.03-1.05],"AL136961.1, CCR12P","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,13:99418203
rs3828794-<b>G</b>,"1 x 10-9",,0.5206,1.0380982,'-,[1.03-1.05],HLA-DQB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32668126
rs4381563-<b>T</b>,"3 x 10-9",,0.6665,1.0380982,'-,[1.03-1.05],PPCDC,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:75108438
rs1143633-<b>C</b>,"8 x 10-9",,0.6486,1.0373445,'-,[1.03-1.05],IL1B,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:112832890
rs10501149-<b>G</b>,"2 x 10-8",,0.6842,1.0364842,'-,[1.02-1.05],PRR5L,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:36354471
rs8086340-<b>G</b>,"3 x 10-9",,0.5355,1.0363768,'-,[1.02-1.05],TNFRSF11A,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,18:62339745
rs13405815-<b>C</b>,"3 x 10-9",,0.5362,1.036162,'-,[1.02-1.05],FOSL2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:28406043
rs9272545-<b>T</b>,"1 x 10-8",,0.6122,1.0357327,'-,[1.02-1.05],HLA-DQA1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32639108
rs7240948-<b>C</b>,"7 x 10-9",,0.6013,1.0357327,'-,[1.02-1.05],STARD6,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,18:54338086
rs6479828-<b>A</b>,"9 x 10-9",,0.592,1.0356256,'-,[1.02-1.05],"AC067752.1, AC024598.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:62615590
rs3793079-<b>T</b>,"3 x 10-8",,0.6256,1.0347682,'-,[1.02-1.05],MLN,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:33800011
rs4939490-<b>C</b>,"2 x 10-8",,0.6068,1.0346612,'-,[1.02-1.05],"CD6, AP003721.2","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:61026179
rs2072713-<b>T</b>,"3 x 10-8",,0.5155,1.0341262,'-,[1.02-1.05],CSF2RB,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,22:36923383
rs10986320-<b>C</b>,"9 x 10-9",,0.3735,1.036,'-,[1.024-1.048],NEK6,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:124331623
rs4076542-<b>A</b>,"2 x 10-8",,0.3335,1.036,'-,[1.023-1.048],"ASCL2, MIR4686","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:2215989
rs1942094-<b>G</b>,"7 x 10-9",,0.3759,1.036,'-,[1.024-1.048],SMAD4,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,18:51074970
rs60946162-<b>T</b>,"5 x 10-10",,0.4549,1.038,'-,[1.026-1.05],LPP,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:188415548
rs13165038-<b>C</b>,"5 x 10-9",,0.3259,1.038,'-,[1.026-1.051],"IRF1-AS1, AC116366.3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:132477658
rs6830371-<b>T</b>,"1 x 10-9",,0.3761,1.038,'-,[1.026-1.05],STX18-AS1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,4:4765968
rs17033015-<b>A</b>,"7 x 10-10",,0.4244,1.038,'-,[1.026-1.05],"NFKB1, MANBA","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,4:102625147
rs10796303-<b>T</b>,"1 x 10-9",,0.3323,1.039,'-,[1.027-1.051],PRKCQ-AS1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:6585738
rs3813308-<b>G</b>,"2 x 10-10",,0.4352,1.039,'-,[1.027-1.051],TNFAIP8,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:119355086
rs10818483-<b>T</b>,"6 x 10-10",,0.3574,1.039,'-,[1.027-1.051],PHF19,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:120888195
rs2013724-<b>A</b>,"2 x 10-8",,0.2644,1.039,'-,[1.026-1.053],"AL133163.2, AL133163.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,14:35387142
rs10185028-<b>G</b>,"3 x 10-8",,0.227,1.04,'-,[1.026-1.054],REL,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:60891604
rs13185930-<b>A</b>,"1 x 10-8",,0.2467,1.04,'-,[1.026-1.053],"CDC23, GFRA3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:138241824
rs2746438-<b>T</b>,"6 x 10-11",,0.4445,1.04,'-,[1.028-1.051],AHI1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:135396930
rs4743311-<b>G</b>,"2 x 10-8",,0.2533,1.04,'-,[1.026-1.054],COL15A1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:99028596
rs10468514-<b>G</b>,"1 x 10-10",,0.3984,1.04,'-,[1.028-1.052],"AC003070.2, ARHGAP27","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:45378874
rs1344674-<b>G</b>,"2 x 10-11",,0.4489,1.041,'-,[1.029-1.053],ZBTB38,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:141406344
rs4739736-<b>A</b>,"1 x 10-10",,0.3478,1.041,'-,[1.028-1.053],AC034114.2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,8:80365134
rs2393717-<b>G</b>,"1 x 10-11",,0.4697,1.041,'-,[1.029-1.052],SPPL3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:120782572
rs7953139-<b>C</b>,"1 x 10-11",,0.4797,1.041,'-,[1.03-1.053],LRRC43,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:122177994
rs12784963-<b>G</b>,"6 x 10-12",,0.4295,1.042,'-,[1.03-1.053],SUFU,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:102577229
rs3116590-<b>G</b>,"1 x 10-8",,0.2145,1.042,'-,[1.028-1.056],DLEU1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,13:50234741
rs9297768-<b>A</b>,"2 x 10-11",,0.3335,1.043,'-,[1.031-1.055],"MYC, PVT1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,8:127792134
rs2228145-<b>C</b>,"7 x 10-13",,0.4108,1.044,'-,[1.032-1.056],IL6R,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:154454494
rs7646283-<b>T</b>,"4 x 10-12",,0.3656,1.044,'-,[1.032-1.056],GLB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:33004988
rs6986151-<b>C</b>,"6 x 10-9",,0.197,1.044,'-,[1.029-1.058],"AP000424.1, ANKRD46","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,8:100507673
rs2190097-<b>C</b>,"2 x 10-10",,0.2417,1.045,'-,[1.032-1.059],GSAP,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:77409628
rs7140939-<b>A</b>,"1 x 10-12",,0.3916,1.045,'-,[1.033-1.057],RAD51B,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,14:68293810
rs12886625-<b>G</b>,"2 x 10-13",,0.4688,1.045,'-,[1.033-1.056],AL132801.2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,14:102772597
rs2229768-<b>C</b>,"8 x 10-11",,0.2381,1.046,'-,[1.032-1.059],H4C3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:26104052
rs507666-<b>A</b>,"3 x 10-9",,0.1859,1.046,'-,[1.031-1.061],ABO,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:133273983
rs12952581-<b>A</b>,"3 x 10-13",,0.3627,1.046,'-,[1.034-1.058],AC091180.6,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:49370984
rs7601800-<b>T</b>,"4 x 10-13",,0.3283,1.047,'-,[1.034-1.059],"MOB4, HSPE1-MOB4","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:197530375
rs7650683-<b>C</b>,"4 x 10-13",,0.2994,1.048,'-,[1.035-1.06],LPP,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:188727995
rs2070901-<b>T</b>,"7 x 10-13",,0.2699,1.049,'-,[1.036-1.062],FCER1G,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:161215268
rs10912564-<b>T</b>,"2 x 10-13",,0.3047,1.049,'-,[1.036-1.062],TNFSF4,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:173201479
rs3933376-<b>A</b>,"4 x 10-10",,0.1868,1.049,'-,[1.034-1.064],PTPRK,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:127970926
rs7359623-<b>C</b>,"2 x 10-16",,0.4857,1.05,'-,[1.038-1.062],"ZPBP2, GSDMB","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:39893336
rs906363-<b>C</b>,"4 x 10-9",,0.1459,1.05,'-,[1.033-1.066],"BATF3, LINC02773","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:212685455
rs763342-<b>C</b>,"4 x 10-16",,0.3393,1.052,'-,[1.04-1.064],"AC068295.1, AC108681.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:187921587
rs113377887-<b>T</b>,"2 x 10-12",,0.2107,1.052,'-,[1.038-1.067],FOXO1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,13:40629228
rs10244416-<b>C</b>,"1 x 10-18",,0.4879,1.054,'-,[1.042-1.065],"EEF1A1P27, ITGB8","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:20536128
rs20541-<b>A</b>,"5 x 10-13",,0.1799,1.057,'-,[1.041-1.072],"IL13, TH2LCRR","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:132660272
rs1555926-<b>C</b>,"3 x 10-14",,0.2072,1.057,'-,[1.042-1.071],"ZNF217, AL157838.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,20:53568405
rs9276796-<b>G</b>,"1 x 10-20",,0.3953,1.058,'-,[1.046-1.07],"HLA-DOB, HLA-DQB2","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32810645
rs1689510-<b>C</b>,"2 x 10-19",,0.3398,1.058,'-,[1.045-1.07],SUOX,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:56002984
rs9648346-<b>G</b>,"2 x 10-15",,0.1994,1.06,'-,[1.045-1.074],JAZF1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:28120494
rs707954-<b>A</b>,"1 x 10-13",,0.3039,1.062,'-,[1.046-1.078],HLA-DRB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32581724
rs2422254-<b>T</b>,"1 x 10-9",,0.09283,1.065,'-,[1.044-1.086],AL031599.1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:172810693
rs9271701-<b>T</b>,"2 x 10-17",,0.1795,1.067,'-,[1.051-1.082],"HLA-DRB1, HLA-DQA1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32625422
rs77665773-<b>T</b>,"1 x 10-8",,0.05889,1.074,'-,[1.049-1.1],"OTULIN, ANKH","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:14700894
rs17293632-<b>T</b>,"6 x 10-25",,0.2372,1.074,'-,[1.06-1.088],SMAD3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:67150258
rs13020553-<b>G</b>,"2 x 10-33",,0.3884,1.076,'-,[1.064-1.088],"IL18R1, IL1RL1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:102315366
rs1444789-<b>C</b>,"7 x 10-22",,0.1849,1.076,'-,[1.06-1.091],"AC044784.1, LINC00709","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:9022398
rs62623446-<b>T</b>,"1 x 10-11",,0.07213,1.08,'-,[1.057-1.103],TESPA1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:54974507
